,종목 코드,상승 확률,하락 확률,변동 없는 확률,상승 확률 높은 순위
1761,115960,0.47580645161290325,0.4717741935483871,0.05241935483870968,665.5
944,095340,0.47580645161290325,0.4838709677419355,0.04032258064516129,665.5
1580,101390,0.47580645161290325,0.5040322580645161,0.020161290322580645,665.5
1077,033640,0.47580645161290325,0.4798387096774194,0.04435483870967742,665.5
1952,041830,0.47580645161290325,0.4274193548387097,0.0967741935483871,665.5
698,071950,0.47580645161290325,0.39919354838709675,0.125,665.5
1006,036620,0.47580645161290325,0.4798387096774194,0.04435483870967742,665.5
1025,014200,0.47580645161290325,0.4637096774193548,0.06048387096774194,665.5
697,005420,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
1909,215790,0.47580645161290325,0.49193548387096775,0.03225806451612903,665.5
824,051600,0.47580645161290325,0.46774193548387094,0.056451612903225805,665.5
712,264900,0.47580645161290325,0.4596774193548387,0.06451612903225806,665.5
1938,091120,0.47580645161290325,0.4475806451612903,0.07661290322580645,665.5
1758,033310,0.47580645161290325,0.49193548387096775,0.03225806451612903,665.5
1888,263770,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
1398,027580,0.47580645161290325,0.4717741935483871,0.05241935483870968,665.5
1293,012860,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
882,008770,0.47580645161290325,0.49193548387096775,0.03225806451612903,665.5
1701,128540,0.47580645161290325,0.5,0.024193548387096774,665.5
2035,036930,0.47580645161290325,0.4717741935483871,0.05241935483870968,665.5
883,008775,0.47580645161290325,0.45564516129032256,0.06854838709677419,665.5
1994,045510,0.47580645161290325,0.4637096774193548,0.06048387096774194,665.5
1185,203650,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
773,000240,0.47580645161290325,0.4637096774193548,0.06048387096774194,665.5
894,032560,0.47580645161290325,0.4717741935483871,0.05241935483870968,665.5
1711,083500,0.47580645161290325,0.45564516129032256,0.06854838709677419,665.5
780,000970,0.47580645161290325,0.4596774193548387,0.06451612903225806,665.5
1456,252500,0.47580645161290325,0.4637096774193548,0.06048387096774194,665.5
1729,183490,0.47580645161290325,0.5080645161290323,0.016129032258064516,665.5
742,010820,0.47580645161290325,0.45161290322580644,0.07258064516129033,665.5
1136,290120,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
1291,087260,0.47580645161290325,0.5,0.024193548387096774,665.5
922,065770,0.47580645161290325,0.4798387096774194,0.04435483870967742,665.5
1103,144960,0.47580645161290325,0.4637096774193548,0.06048387096774194,665.5
2023,038010,0.47580645161290325,0.5,0.024193548387096774,665.5
728,001420,0.47580645161290325,0.47580645161290325,0.04838709677419355,665.5
1485,094840,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
1855,112040,0.47580645161290325,0.4959677419354839,0.028225806451612902,665.5
926,068790,0.47580645161290325,0.49193548387096775,0.03225806451612903,665.5
1647,041510,0.47580645161290325,0.4959677419354839,0.028225806451612902,665.5
1091,031390,0.47580645161290325,0.4959677419354839,0.028225806451612902,665.5
1563,067390,0.47580645161290325,0.5120967741935484,0.012096774193548387,665.5
725,004105,0.47580645161290325,0.4798387096774194,0.04435483870967742,665.5
1589,119830,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
253,009320,0.47580645161290325,0.4879032258064516,0.036290322580645164,665.5
352,001080,0.47580645161290325,0.4435483870967742,0.08064516129032258,665.5
640,015860,0.47580645161290325,0.46774193548387094,0.056451612903225805,665.5
343,004990,0.47580645161290325,0.47580645161290325,0.04838709677419355,665.5
2110,054410,0.47580645161290325,0.4959677419354839,0.028225806451612902,665.5
